Episode 0, loss: 211.298, total_reward: 25.0, solved: False
Episode 1, loss: 78.238, total_reward: 15.0, solved: False
Episode 2, loss: 330.204, total_reward: 32.0, solved: False
Episode 3, loss: 122.310, total_reward: 19.0, solved: False
Episode 4, loss: 109.023, total_reward: 17.0, solved: False
Episode 5, loss: 142.653, total_reward: 21.0, solved: False
Episode 6, loss: 83.405, total_reward: 16.0, solved: False
Episode 7, loss: 85.472, total_reward: 16.0, solved: False
Episode 8, loss: 803.563, total_reward: 52.0, solved: False
Episode 9, loss: 204.095, total_reward: 25.0, solved: False
Episode 10, loss: 116.135, total_reward: 19.0, solved: False
Episode 11, loss: 291.623, total_reward: 31.0, solved: False
Episode 12, loss: 355.858, total_reward: 34.0, solved: False
Episode 13, loss: 866.950, total_reward: 56.0, solved: False
Episode 14, loss: 99.543, total_reward: 17.0, solved: False
Episode 15, loss: 374.090, total_reward: 36.0, solved: False
Episode 16, loss: 497.284, total_reward: 42.0, solved: False
Episode 17, loss: 466.000, total_reward: 40.0, solved: False
Episode 18, loss: 741.734, total_reward: 52.0, solved: False
Episode 19, loss: 355.449, total_reward: 35.0, solved: False
Episode 20, loss: 188.116, total_reward: 24.0, solved: False
Episode 21, loss: 330.883, total_reward: 34.0, solved: False
Episode 22, loss: 389.182, total_reward: 38.0, solved: False
Episode 23, loss: 244.343, total_reward: 28.0, solved: False
Episode 24, loss: 225.357, total_reward: 25.0, solved: False
Episode 25, loss: 776.327, total_reward: 53.0, solved: False
Episode 26, loss: 696.096, total_reward: 52.0, solved: False
Episode 27, loss: 755.553, total_reward: 53.0, solved: False
Episode 28, loss: 195.068, total_reward: 26.0, solved: False
Episode 29, loss: 236.025, total_reward: 29.0, solved: False
Episode 30, loss: 661.551, total_reward: 51.0, solved: False
Episode 31, loss: 446.811, total_reward: 40.0, solved: False
Episode 32, loss: 63.700, total_reward: 14.0, solved: False
Episode 33, loss: 154.360, total_reward: 23.0, solved: False
Episode 34, loss: 146.134, total_reward: 22.0, solved: False
Episode 35, loss: 524.853, total_reward: 45.0, solved: False
Episode 36, loss: 141.246, total_reward: 23.0, solved: False
Episode 37, loss: 460.110, total_reward: 43.0, solved: False
Episode 38, loss: 335.728, total_reward: 37.0, solved: False
Episode 39, loss: 401.630, total_reward: 40.0, solved: False
Episode 40, loss: 157.808, total_reward: 24.0, solved: False
Episode 41, loss: 319.365, total_reward: 37.0, solved: False
Episode 42, loss: 272.250, total_reward: 33.0, solved: False
Episode 43, loss: 247.351, total_reward: 32.0, solved: False
Episode 44, loss: 165.071, total_reward: 26.0, solved: False
Episode 45, loss: 97.228, total_reward: 15.0, solved: False
Episode 46, loss: 272.166, total_reward: 35.0, solved: False
Episode 47, loss: 181.459, total_reward: 23.0, solved: False
Episode 48, loss: 272.130, total_reward: 30.0, solved: False
Episode 49, loss: 318.554, total_reward: 35.0, solved: False
Episode 50, loss: 200.004, total_reward: 30.0, solved: False
Episode 51, loss: 204.965, total_reward: 28.0, solved: False
Episode 52, loss: 649.631, total_reward: 50.0, solved: False
Episode 53, loss: 92.446, total_reward: 20.0, solved: False
Episode 54, loss: 70.924, total_reward: 17.0, solved: False
Episode 55, loss: 90.070, total_reward: 20.0, solved: False
Episode 56, loss: 170.006, total_reward: 26.0, solved: False
Episode 57, loss: 254.289, total_reward: 31.0, solved: False
