Episode 0, loss: 60.204, total_reward: 13.0, solved: False
Episode 1, loss: 190.462, total_reward: 24.0, solved: False
Episode 2, loss: 47.459, total_reward: 12.0, solved: False
Episode 3, loss: 53.130, total_reward: 13.0, solved: False
Episode 4, loss: 257.917, total_reward: 28.0, solved: False
Episode 5, loss: 303.681, total_reward: 30.0, solved: False
Episode 6, loss: 380.252, total_reward: 34.0, solved: False
Episode 7, loss: 81.758, total_reward: 16.0, solved: False
Episode 8, loss: 182.113, total_reward: 24.0, solved: False
Episode 9, loss: 159.896, total_reward: 22.0, solved: False
Episode 10, loss: 103.437, total_reward: 16.0, solved: False
Episode 11, loss: 106.726, total_reward: 18.0, solved: False
Episode 12, loss: 633.991, total_reward: 47.0, solved: False
Episode 13, loss: 172.997, total_reward: 23.0, solved: False
Episode 14, loss: 1356.553, total_reward: 71.0, solved: False
Episode 15, loss: 383.520, total_reward: 36.0, solved: False
Episode 16, loss: 1198.721, total_reward: 67.0, solved: False
Episode 17, loss: 249.138, total_reward: 28.0, solved: False
Episode 18, loss: 668.764, total_reward: 48.0, solved: False
Episode 19, loss: 514.637, total_reward: 43.0, solved: False
Episode 20, loss: 115.807, total_reward: 15.0, solved: False
Episode 21, loss: 124.055, total_reward: 20.0, solved: False
Episode 22, loss: 693.306, total_reward: 50.0, solved: False
Episode 23, loss: 1051.977, total_reward: 63.0, solved: False
Episode 24, loss: 472.147, total_reward: 39.0, solved: False
Episode 25, loss: 583.736, total_reward: 45.0, solved: False
Episode 26, loss: 1648.251, total_reward: 82.0, solved: False
Episode 27, loss: 179.469, total_reward: 24.0, solved: False
Episode 28, loss: 1821.568, total_reward: 84.0, solved: False
Episode 29, loss: 3688.637, total_reward: 131.0, solved: False
Episode 30, loss: 549.673, total_reward: 45.0, solved: False
Episode 31, loss: 1603.750, total_reward: 82.0, solved: False
Episode 32, loss: 1738.543, total_reward: 85.0, solved: False
Episode 33, loss: 310.503, total_reward: 31.0, solved: False
Episode 34, loss: 2717.182, total_reward: 112.0, solved: False
Episode 35, loss: 1274.113, total_reward: 71.0, solved: False
Episode 36, loss: 259.631, total_reward: 29.0, solved: False
Episode 37, loss: 3317.261, total_reward: 127.0, solved: False
Episode 38, loss: 1836.686, total_reward: 87.0, solved: False
Episode 39, loss: 138.316, total_reward: 19.0, solved: False
Episode 40, loss: 783.683, total_reward: 56.0, solved: False
Episode 41, loss: 5168.298, total_reward: 167.0, solved: False
Episode 42, loss: 639.213, total_reward: 50.0, solved: False
Episode 43, loss: 2277.431, total_reward: 99.0, solved: False
Episode 44, loss: 2493.046, total_reward: 108.0, solved: False
Episode 45, loss: 2525.801, total_reward: 111.0, solved: False
Episode 46, loss: 3470.546, total_reward: 135.0, solved: False
Episode 47, loss: 984.628, total_reward: 61.0, solved: False
Episode 48, loss: 397.969, total_reward: 40.0, solved: False
Episode 49, loss: 277.462, total_reward: 32.0, solved: False
Episode 50, loss: 1061.146, total_reward: 67.0, solved: False
Episode 51, loss: 1641.406, total_reward: 79.0, solved: False
Episode 52, loss: 174.401, total_reward: 26.0, solved: False
Episode 53, loss: 1422.214, total_reward: 79.0, solved: False
Episode 54, loss: 557.403, total_reward: 48.0, solved: False
Episode 55, loss: 223.343, total_reward: 29.0, solved: False
Episode 56, loss: 501.901, total_reward: 45.0, solved: False
Episode 57, loss: 573.962, total_reward: 49.0, solved: False
Episode 58, loss: 1232.858, total_reward: 76.0, solved: False
Episode 59, loss: 230.642, total_reward: 30.0, solved: False
Episode 60, loss: 1724.661, total_reward: 90.0, solved: False
Episode 61, loss: 668.560, total_reward: 56.0, solved: False
Episode 62, loss: 1493.782, total_reward: 87.0, solved: False
Episode 63, loss: 2330.281, total_reward: 110.0, solved: False
Episode 64, loss: 5003.254, total_reward: 172.0, solved: False
Episode 65, loss: 2830.396, total_reward: 121.0, solved: False
Episode 66, loss: 6039.622, total_reward: 193.0, solved: False
Episode 67, loss: 6020.634, total_reward: 192.0, solved: False
Episode 68, loss: 1326.113, total_reward: 78.0, solved: False
Episode 69, loss: 6067.690, total_reward: 200.0, solved: True
Episode 70, loss: 3673.573, total_reward: 141.0, solved: False
Episode 71, loss: 4131.749, total_reward: 157.0, solved: False
Episode 72, loss: 6420.158, total_reward: 200.0, solved: True
Episode 73, loss: 5991.154, total_reward: 187.0, solved: False
Episode 74, loss: 6367.655, total_reward: 200.0, solved: True
Episode 75, loss: 6972.985, total_reward: 200.0, solved: True
Episode 76, loss: 6371.184, total_reward: 200.0, solved: True
Episode 77, loss: 6234.422, total_reward: 200.0, solved: True
Episode 78, loss: 6662.476, total_reward: 200.0, solved: True
Episode 79, loss: 3699.729, total_reward: 136.0, solved: False
Episode 80, loss: 6802.583, total_reward: 200.0, solved: True
Episode 81, loss: 3032.250, total_reward: 123.0, solved: False
Episode 82, loss: 3249.880, total_reward: 130.0, solved: False
Episode 83, loss: 4028.017, total_reward: 143.0, solved: False
Episode 84, loss: 2518.614, total_reward: 111.0, solved: False
Episode 85, loss: 1998.488, total_reward: 89.0, solved: False
Episode 86, loss: 5458.255, total_reward: 177.0, solved: False
Episode 87, loss: 5785.102, total_reward: 181.0, solved: False
Episode 88, loss: 6441.486, total_reward: 199.0, solved: True
Episode 89, loss: 6657.163, total_reward: 200.0, solved: True
Episode 90, loss: 6496.626, total_reward: 200.0, solved: True
Episode 91, loss: 6479.785, total_reward: 200.0, solved: True
Episode 92, loss: 4303.648, total_reward: 153.0, solved: False
Episode 93, loss: 6766.147, total_reward: 200.0, solved: True
Episode 94, loss: 6412.542, total_reward: 200.0, solved: True
Episode 95, loss: 3775.850, total_reward: 141.0, solved: False
Episode 96, loss: 5666.146, total_reward: 179.0, solved: False
Episode 97, loss: 5461.619, total_reward: 179.0, solved: False
Episode 98, loss: 1438.055, total_reward: 77.0, solved: False
Episode 99, loss: 393.788, total_reward: 41.0, solved: False
Episode 100, loss: 2762.293, total_reward: 116.0, solved: False
