Episode 0, loss: 46.779, total_reward: 12.0, solved: False
Episode 1, loss: 273.242, total_reward: 29.0, solved: False
Episode 2, loss: 173.401, total_reward: 22.0, solved: False
Episode 3, loss: 65.807, total_reward: 14.0, solved: False
Episode 4, loss: 142.170, total_reward: 21.0, solved: False
Episode 5, loss: 54.496, total_reward: 13.0, solved: False
Episode 6, loss: 108.710, total_reward: 16.0, solved: False
Episode 7, loss: 45.869, total_reward: 12.0, solved: False
Episode 8, loss: 410.374, total_reward: 36.0, solved: False
Episode 9, loss: 159.147, total_reward: 22.0, solved: False
Episode 10, loss: 1130.438, total_reward: 63.0, solved: False
Episode 11, loss: 246.903, total_reward: 27.0, solved: False
Episode 12, loss: 628.706, total_reward: 46.0, solved: False
Episode 13, loss: 336.118, total_reward: 33.0, solved: False
Episode 14, loss: 70.331, total_reward: 14.0, solved: False
Episode 15, loss: 114.357, total_reward: 18.0, solved: False
Episode 16, loss: 247.665, total_reward: 28.0, solved: False
Episode 17, loss: 612.809, total_reward: 46.0, solved: False
Episode 18, loss: 277.380, total_reward: 30.0, solved: False
Episode 19, loss: 152.894, total_reward: 22.0, solved: False
Episode 20, loss: 131.765, total_reward: 20.0, solved: False
Episode 21, loss: 672.779, total_reward: 48.0, solved: False
Episode 22, loss: 109.752, total_reward: 18.0, solved: False
Episode 23, loss: 744.479, total_reward: 51.0, solved: False
Episode 24, loss: 118.424, total_reward: 19.0, solved: False
Episode 25, loss: 336.707, total_reward: 34.0, solved: False
Episode 26, loss: 88.657, total_reward: 16.0, solved: False
Episode 27, loss: 388.622, total_reward: 37.0, solved: False
Episode 28, loss: 644.411, total_reward: 48.0, solved: False
Episode 29, loss: 606.872, total_reward: 47.0, solved: False
Episode 30, loss: 2437.824, total_reward: 104.0, solved: False
Episode 31, loss: 108.197, total_reward: 18.0, solved: False
Episode 32, loss: 183.591, total_reward: 25.0, solved: False
Episode 33, loss: 427.154, total_reward: 40.0, solved: False
Episode 34, loss: 1852.574, total_reward: 88.0, solved: False
Episode 35, loss: 1771.373, total_reward: 83.0, solved: False
Episode 36, loss: 716.311, total_reward: 52.0, solved: False
Episode 37, loss: 1149.603, total_reward: 70.0, solved: False
Episode 38, loss: 662.254, total_reward: 51.0, solved: False
Episode 39, loss: 338.891, total_reward: 34.0, solved: False
Episode 40, loss: 1039.638, total_reward: 64.0, solved: False
Episode 41, loss: 1004.553, total_reward: 64.0, solved: False
Episode 42, loss: 749.787, total_reward: 52.0, solved: False
Episode 43, loss: 336.703, total_reward: 34.0, solved: False
Episode 44, loss: 2335.470, total_reward: 101.0, solved: False
Episode 45, loss: 477.002, total_reward: 41.0, solved: False
Episode 46, loss: 3081.219, total_reward: 127.0, solved: False
Episode 47, loss: 93.393, total_reward: 16.0, solved: False
Episode 48, loss: 558.817, total_reward: 47.0, solved: False
Episode 49, loss: 417.026, total_reward: 42.0, solved: False
Episode 50, loss: 141.084, total_reward: 20.0, solved: False
Episode 51, loss: 829.708, total_reward: 57.0, solved: False
Episode 52, loss: 573.155, total_reward: 48.0, solved: False
Episode 53, loss: 434.612, total_reward: 42.0, solved: False
Episode 54, loss: 583.595, total_reward: 48.0, solved: False
Episode 55, loss: 638.866, total_reward: 51.0, solved: False
Episode 56, loss: 630.577, total_reward: 52.0, solved: False
Episode 57, loss: 867.297, total_reward: 62.0, solved: False
Episode 58, loss: 453.035, total_reward: 42.0, solved: False
Episode 59, loss: 339.670, total_reward: 37.0, solved: False
Episode 60, loss: 102.437, total_reward: 18.0, solved: False
Episode 61, loss: 462.532, total_reward: 42.0, solved: False
Episode 62, loss: 323.397, total_reward: 37.0, solved: False
Episode 63, loss: 241.489, total_reward: 31.0, solved: False
Episode 64, loss: 680.091, total_reward: 51.0, solved: False
Episode 65, loss: 105.117, total_reward: 18.0, solved: False
Episode 66, loss: 262.896, total_reward: 31.0, solved: False
Episode 67, loss: 758.096, total_reward: 59.0, solved: False
Episode 68, loss: 492.744, total_reward: 43.0, solved: False
Episode 69, loss: 508.877, total_reward: 46.0, solved: False
