Episode 0, loss: 34.797, total_reward: 10.0, solved: False
Episode 1, loss: 132.242, total_reward: 20.0, solved: False
Episode 2, loss: 236.315, total_reward: 27.0, solved: False
Episode 3, loss: 63.777, total_reward: 14.0, solved: False
Episode 4, loss: 68.862, total_reward: 13.0, solved: False
Episode 5, loss: 258.858, total_reward: 28.0, solved: False
Episode 6, loss: 205.404, total_reward: 24.0, solved: False
Episode 7, loss: 249.875, total_reward: 28.0, solved: False
Episode 8, loss: 171.338, total_reward: 23.0, solved: False
Episode 9, loss: 95.536, total_reward: 17.0, solved: False
Episode 10, loss: 65.793, total_reward: 14.0, solved: False
Episode 11, loss: 30.089, total_reward: 9.0, solved: False
Episode 12, loss: 41.837, total_reward: 11.0, solved: False
Episode 13, loss: 247.617, total_reward: 28.0, solved: False
Episode 14, loss: 56.472, total_reward: 13.0, solved: False
Episode 15, loss: 172.879, total_reward: 23.0, solved: False
Episode 16, loss: 65.336, total_reward: 14.0, solved: False
Episode 17, loss: 283.779, total_reward: 30.0, solved: False
Episode 18, loss: 95.081, total_reward: 17.0, solved: False
Episode 19, loss: 118.617, total_reward: 19.0, solved: False
Episode 20, loss: 182.946, total_reward: 24.0, solved: False
Episode 21, loss: 103.692, total_reward: 18.0, solved: False
Episode 22, loss: 82.767, total_reward: 16.0, solved: False
Episode 23, loss: 46.635, total_reward: 12.0, solved: False
Episode 24, loss: 47.456, total_reward: 12.0, solved: False
Episode 25, loss: 70.666, total_reward: 15.0, solved: False
Episode 26, loss: 60.574, total_reward: 14.0, solved: False
Episode 27, loss: 68.160, total_reward: 15.0, solved: False
Episode 28, loss: 527.232, total_reward: 42.0, solved: False
Episode 29, loss: 45.167, total_reward: 12.0, solved: False
Episode 30, loss: 79.826, total_reward: 16.0, solved: False
Episode 31, loss: 71.207, total_reward: 15.0, solved: False
Episode 32, loss: 68.078, total_reward: 15.0, solved: False
Episode 33, loss: 60.880, total_reward: 14.0, solved: False
Episode 34, loss: 57.688, total_reward: 14.0, solved: False
Episode 35, loss: 41.586, total_reward: 12.0, solved: False
Episode 36, loss: 150.113, total_reward: 21.0, solved: False
Episode 37, loss: 49.827, total_reward: 13.0, solved: False
Episode 38, loss: 93.969, total_reward: 17.0, solved: False
Episode 39, loss: 100.137, total_reward: 18.0, solved: False
Episode 40, loss: 260.393, total_reward: 27.0, solved: False
Episode 41, loss: 608.059, total_reward: 42.0, solved: False
Episode 42, loss: 106.176, total_reward: 18.0, solved: False
