Episode 0, loss: 69.908, total_reward: 14.0, solved: False
Episode 1, loss: 121.776, total_reward: 19.0, solved: False
Episode 2, loss: 351.346, total_reward: 33.0, solved: False
Episode 3, loss: 492.850, total_reward: 40.0, solved: False
Episode 4, loss: 522.689, total_reward: 41.0, solved: False
Episode 5, loss: 127.892, total_reward: 19.0, solved: False
Episode 6, loss: 77.768, total_reward: 15.0, solved: False
Episode 7, loss: 88.947, total_reward: 16.0, solved: False
Episode 8, loss: 94.502, total_reward: 16.0, solved: False
Episode 9, loss: 715.265, total_reward: 49.0, solved: False
Episode 10, loss: 261.328, total_reward: 28.0, solved: False
Episode 11, loss: 100.604, total_reward: 17.0, solved: False
Episode 12, loss: 163.050, total_reward: 22.0, solved: False
Episode 13, loss: 222.011, total_reward: 26.0, solved: False
Episode 14, loss: 656.498, total_reward: 47.0, solved: False
Episode 15, loss: 300.463, total_reward: 31.0, solved: False
Episode 16, loss: 596.139, total_reward: 45.0, solved: False
Episode 17, loss: 69.292, total_reward: 14.0, solved: False
Episode 18, loss: 176.500, total_reward: 23.0, solved: False
Episode 19, loss: 493.148, total_reward: 41.0, solved: False
Episode 20, loss: 90.825, total_reward: 16.0, solved: False
Episode 21, loss: 93.504, total_reward: 16.0, solved: False
Episode 22, loss: 480.189, total_reward: 40.0, solved: False
Episode 23, loss: 68.287, total_reward: 13.0, solved: False
Episode 24, loss: 1321.523, total_reward: 71.0, solved: False
Episode 25, loss: 162.478, total_reward: 22.0, solved: False
Episode 26, loss: 109.057, total_reward: 17.0, solved: False
Episode 27, loss: 160.658, total_reward: 22.0, solved: False
Episode 28, loss: 1847.944, total_reward: 87.0, solved: False
Episode 29, loss: 371.186, total_reward: 35.0, solved: False
Episode 30, loss: 902.974, total_reward: 58.0, solved: False
Episode 31, loss: 471.577, total_reward: 41.0, solved: False
Episode 32, loss: 203.523, total_reward: 25.0, solved: False
Episode 33, loss: 702.025, total_reward: 52.0, solved: False
Episode 34, loss: 2125.224, total_reward: 92.0, solved: False
Episode 35, loss: 100.217, total_reward: 16.0, solved: False
Episode 36, loss: 370.616, total_reward: 35.0, solved: False
Episode 37, loss: 236.019, total_reward: 28.0, solved: False
Episode 38, loss: 483.790, total_reward: 42.0, solved: False
Episode 39, loss: 1441.986, total_reward: 78.0, solved: False
Episode 40, loss: 490.860, total_reward: 42.0, solved: False
Episode 41, loss: 3274.576, total_reward: 121.0, solved: False
Episode 42, loss: 851.310, total_reward: 55.0, solved: False
Episode 43, loss: 397.133, total_reward: 38.0, solved: False
Episode 44, loss: 1109.910, total_reward: 66.0, solved: False
Episode 45, loss: 1745.717, total_reward: 87.0, solved: False
Episode 46, loss: 780.664, total_reward: 55.0, solved: False
Episode 47, loss: 1038.166, total_reward: 66.0, solved: False
Episode 48, loss: 765.506, total_reward: 55.0, solved: False
Episode 49, loss: 2355.492, total_reward: 103.0, solved: False
Episode 50, loss: 2922.719, total_reward: 117.0, solved: False
Episode 51, loss: 1729.026, total_reward: 83.0, solved: False
Episode 52, loss: 3249.130, total_reward: 126.0, solved: False
Episode 53, loss: 1574.563, total_reward: 82.0, solved: False
Episode 54, loss: 952.701, total_reward: 62.0, solved: False
Episode 55, loss: 431.392, total_reward: 37.0, solved: False
Episode 56, loss: 2195.601, total_reward: 100.0, solved: False
Episode 57, loss: 3751.783, total_reward: 138.0, solved: False
Episode 58, loss: 1809.018, total_reward: 91.0, solved: False
Episode 59, loss: 589.475, total_reward: 46.0, solved: False
Episode 60, loss: 3570.495, total_reward: 137.0, solved: False
Episode 61, loss: 3075.682, total_reward: 121.0, solved: False
Episode 62, loss: 536.450, total_reward: 47.0, solved: False
Episode 63, loss: 547.920, total_reward: 48.0, solved: False
Episode 64, loss: 650.294, total_reward: 53.0, solved: False
Episode 65, loss: 344.378, total_reward: 35.0, solved: False
Episode 66, loss: 3990.584, total_reward: 148.0, solved: False
Episode 67, loss: 1160.329, total_reward: 72.0, solved: False
Episode 68, loss: 1622.142, total_reward: 86.0, solved: False
Episode 69, loss: 4348.562, total_reward: 154.0, solved: False
Episode 70, loss: 602.893, total_reward: 47.0, solved: False
Episode 71, loss: 1305.961, total_reward: 80.0, solved: False
Episode 72, loss: 3309.071, total_reward: 140.0, solved: False
Episode 73, loss: 3748.325, total_reward: 140.0, solved: False
Episode 74, loss: 1806.695, total_reward: 84.0, solved: False
Episode 75, loss: 2800.938, total_reward: 126.0, solved: False
Episode 76, loss: 1653.021, total_reward: 88.0, solved: False
Episode 77, loss: 2004.744, total_reward: 105.0, solved: False
Episode 78, loss: 833.045, total_reward: 58.0, solved: False
Episode 79, loss: 492.480, total_reward: 46.0, solved: False
Episode 80, loss: 946.601, total_reward: 66.0, solved: False
Episode 81, loss: 193.962, total_reward: 29.0, solved: False
Episode 82, loss: 342.115, total_reward: 40.0, solved: False
Episode 83, loss: 803.501, total_reward: 63.0, solved: False
Episode 84, loss: 1211.256, total_reward: 70.0, solved: False
Episode 85, loss: 304.651, total_reward: 35.0, solved: False
Episode 86, loss: 1091.643, total_reward: 69.0, solved: False
Episode 87, loss: 230.143, total_reward: 32.0, solved: False
Episode 88, loss: 243.210, total_reward: 33.0, solved: False
Episode 89, loss: 462.032, total_reward: 48.0, solved: False
Episode 90, loss: 242.653, total_reward: 29.0, solved: False
Episode 91, loss: 911.904, total_reward: 59.0, solved: False
Episode 92, loss: 364.732, total_reward: 42.0, solved: False
Episode 93, loss: 613.124, total_reward: 49.0, solved: False
Episode 94, loss: 500.436, total_reward: 47.0, solved: False
Episode 95, loss: 366.477, total_reward: 44.0, solved: False
Episode 96, loss: 125.635, total_reward: 18.0, solved: False
Episode 97, loss: 1214.859, total_reward: 82.0, solved: False
Episode 98, loss: 1507.259, total_reward: 84.0, solved: False
Episode 99, loss: 1985.555, total_reward: 97.0, solved: False
Episode 100, loss: 2000.168, total_reward: 99.0, solved: False
Episode 101, loss: 1623.722, total_reward: 90.0, solved: False
Episode 102, loss: 2336.262, total_reward: 112.0, solved: False
Episode 103, loss: 2814.619, total_reward: 129.0, solved: False
Episode 104, loss: 3603.583, total_reward: 141.0, solved: False
Episode 105, loss: 5828.571, total_reward: 200.0, solved: True
Episode 106, loss: 6281.705, total_reward: 200.0, solved: True
Episode 107, loss: 6420.975, total_reward: 200.0, solved: True
Episode 108, loss: 6115.039, total_reward: 200.0, solved: True
Episode 109, loss: 6472.784, total_reward: 200.0, solved: True
Episode 110, loss: 6625.795, total_reward: 200.0, solved: True
Episode 111, loss: 6014.635, total_reward: 200.0, solved: True
Episode 112, loss: 4326.046, total_reward: 156.0, solved: False
Episode 113, loss: 5101.263, total_reward: 174.0, solved: False
Episode 114, loss: 6485.665, total_reward: 200.0, solved: True
Episode 115, loss: 6469.689, total_reward: 200.0, solved: True
Episode 116, loss: 6256.589, total_reward: 200.0, solved: True
Episode 117, loss: 6495.160, total_reward: 200.0, solved: True
Episode 118, loss: 6269.572, total_reward: 200.0, solved: True
Episode 119, loss: 6252.557, total_reward: 200.0, solved: True
Episode 120, loss: 6443.201, total_reward: 200.0, solved: True
Episode 121, loss: 6558.858, total_reward: 200.0, solved: True
